F3 Value,FC6 Value,P7 Value,T8 Value,F7 Value,F8 Value,T7 Value,P8 Value,AF4 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value,X Value,Y Value,Z Value,Unknown Value
-155520,-892440,-594720,-2720,-105144,-151776,-3960,-710528,-1272,-1533096,-274896,-1022560,-1082560,-292608,0,0,,0
-173952,-868320,-628704,-2720,-64704,-168096,-4248,-728000,-1416,-1563912,-251712,-920304,-1098480,-339344,0,0,,752
-186624,-1013040,-730656,-2752,-70096,-205632,-3792,-879424,-1288,-1633248,-246744,-971432,-1424840,-300736,0,0,,384
-196992,-1157760,-730656,-2736,-75488,-202368,-4080,-1025024,-1392,-1841256,-258336,-1132120,-1544240,-314960,0,0,,784
-202752,-1214040,-713664,-2592,-72792,-215424,-4296,-873600,-1368,-2003040,-293112,-1241680,-1337280,-323088,0,0,,0
-179712,-1262280,-747648,-2656,-86272,-246432,-4104,-943488,-1224,-1833552,-336168,-1292808,-1241760,-294640,0,0,,0
-158976,-1230120,-843936,-2816,-83576,-236640,-4320,-1403584,-1408,-1610136,-306360,-1314720,-1472600,-314960,0,0,,1248
-161280,-1061280,-708000,-2768,-67400,-204000,-3984,-1176448,-1296,-1540800,-241776,-1124816,-1337280,-278384,0,0,,0
-185472,-900480,-555072,-2704,-70096,-186048,-4152,-576576,-1368,-1640952,-256680,-1029864,-1098480,-323088,0,0,,864
-199296,-1021080,-685344,-2640,-78184,-202368,-4128,-762944,-1384,-1748808,-286488,-1300112,-1337280,-341376,0,0,,0
-192384,-1350720,-900576,-2704,-102448,-241536,-3864,-1211392,-1208,-1848960,-276552,-1497320,-1687520,-288544,0,0,,0
-200448,-1382880,-877920,-2688,-156368,-243168,-4368,-1124032,-1392,-1864368,-299736,-1351240,-1576080,-339344,0,0,,912
-206208,-1294440,-781632,-2512,-172544,-218688,-4080,-879424,-1280,-1756512,-324576,-1322024,-1313400,-321056,0,0,,1392
-215424,-1439160,-883584,-2560,-164456,-230112,-4056,-757120,-1336,-1818144,-316296,-1584968,-1464640,-323088,0,0,,0
-236160,-1463280,-872256,-2864,-180632,-257856,-4176,-757120,-1432,-1879776,-332856,-1643400,-1639760,-341376,0,0,,960
-230400,-1326600,-860928,-2880,-164456,-246432,-3840,-1094912,-1256,-1725696,-339480,-1468104,-1488520,-288544,0,0,,488
-193536,-1270320,-945888,-2704,-86272,-208896,-4272,-1281280,-1384,-1610136,-289800,-1395064,-1377080,-314960,0,0,,1488
-148608,-1093440,-804288,-2656,-43136,-186048,-4104,-1036672,-1264,-1463760,-246744,-1314720,-1400960,-296672,0,0,,0
-154368,-964800,-770304,-2752,-107840,-181152,-4056,-838656,-1296,-1402128,-269928,-1373152,-1432800,-308864,0,0,,0
-185472,-1181880,-1047840,-2768,-153672,-190944,-4368,-861952,-1440,-1517688,-281520,-1577664,-1520360,-325360,0,0,,0
-173952,-1262280,-883584,-2704,-113232,-199104,-4032,-1007552,-1296,-1517688,-237312,-1482712,-1512400,-290080,0,0,,0
-165888,-1149720,-589056,-2768,-108480,-200736,-4224,-1077440,-1472,-1525392,-219184,-1351240,-1345240,-325360,0,0,,0
-171648,-1238160,-906240,-2832,-157296,-207264,0,-1263808,-1368,-1563912,-242256,-1431584,-1400960,-297920,0,0,,0
-169344,-1286400,-1046592,-2752,-181704,-204000,0,-1316224,-1280,-1463760,-268624,-1387760,-1536280,-288120,0,0,,0
-180864,-1197960,-648432,-2688,-189840,-202368,0,-809536,-1384,-1371312,-285104,-1307416,-1478520,-325360,0,0,,0
-182016,-1206000,-557424,-2752,-178992,-202368,0,-483392,-1264,-1379016,-285104,-1365984,-1326672,-288120,0,0,,0
-178560,-1310520,-858888,-2752,-141024,-197472,0,-860016,-1448,-1479168,-275216,-1388016,-1326672,-331240,0,0,,0
-191232,-1423080,-898704,0,-149160,-217056,0,-1167664,-1352,-1509984,-263680,-1417392,-1406592,-335160,0,0,,0
-207360,-1479360,-847512,0,-192552,-343944,0,-1230592,-1272,-1494576,-281808,-1461456,-1430568,-311640,0,0,,0
-201600,-1390920,-824760,0,-176280,-332704,0,-1174656,-2832,-1448352,-303232,-1388016,-1358640,-327320,0,0,,0
-163584,-177600,-722376,0,-119328,-258520,0,-1258560,-2544,-1224936,-273568,-1255824,-1326672,-294000,0,0,,0
-167040,-174000,-824760,0,-127464,-242784,0,-1370432,-2816,-1259520,-258736,-1255824,-1534464,-333200,0,0,,0
-194688,-204000,-944208,0,-203400,-304560,0,-1286528,-2720,-1489920,-286752,-1365984,-1550448,-317520,0,0,,0
-175104,-199200,-853200,0,-184416,-295536,0,-1146688,-1272,-1413120,-270272,-1314576,-1366632,-270480,0,0,,0
-145152,-167912,-699624,0,-73224,-241392,0,-950912,-1424,-1175040,-204352,-1101600,-1382616,-294000,0,0,,0
-149760,-179992,-733752,0,-89496,-261696,0,-811072,-1272,-1221120,-210944,-1138320,-1326672,-280280,0,0,,623376
-186624,-217440,-955584,0,-219672,-297792,0,-1167664,-1360,-1489920,-283456,-1329264,-1382616,-325360,0,0,,185648
-187776,-210192,-1023840,0,-227808,-279744,0,-1559216,-1360,-1451520,-276864,-1233792,-1670328,-307720,0,0,,1992
-173952,-181200,-819072,0,-162720,-263952,0,-1132704,-1336,-1297920,-234016,-1108944,-1574424,-268520,0,0,,101472
