T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
168.5,157.75,151.0,89.25,22.5
-292.75,-198.5,-207.5,-206.0,-185.25
161.75,97.25,109.0,89.25,18.5
-275.5,-138.25,-159.5,-181.0,-163.25
135.25,81.25,70.0,64.0,-8.0
-264.75,-105.0,-143.5,-170.75,-149.0
126.5,39.0,41.5,51.5,-19.25
-283.25,-203.75,-217.5,-191.75,-175.25
136.0,75.25,70.25,62.25,-9.5
-303.75,-224.75,-257.5,-218.25,-196.75
156.75,109.5,91.25,77.75,11.75
-296.5,-224.0,-241.25,-211.75,-187.25
158.0,70.0,73.75,79.0,12.0
-262.75,-117.5,-142.5,-173.25,-152.5
145.75,95.0,88.25,68.75,0.25
-242.0,-73.5,-103.25,-150.75,-128.0
156.75,111.5,118.0,81.25,11.25
-260.75,-136.0,-152.5,-170.0,-150.75
170.25,174.5,163.75,97.25,24.75
-287.5,-171.0,-191.25,-200.0,-185.5
164.25,121.75,128.0,90.0,14.0
-287.5,-198.25,-200.25,-200.0,-188.5
149.5,65.5,75.5,70.0,-8.0
-263.0,-111.5,-135.75,-173.25,-162.0
137.75,68.25,73.25,59.75,-22.0
-257.0,-130.25,-142.0,-166.5,-159.75
142.75,77.25,90.5,69.0,-16.5
-282.0,-187.25,-200.5,-193.75,-193.0
160.0,143.5,135.0,83.75,-8.5
-304.5,-216.5,-233.5,-218.25,-219.75
150.5,76.25,78.25,73.25,-16.25
-295.75,-205.75,-226.75,-210.0,-206.75
125.75,30.5,16.5,47.25,-37.25
-273.0,-135.0,-179.5,-182.25,-181.5
123.0,20.5,22.25,45.5,-45.75
-275.75,-200.25,-209.25,-185.25,-185.5
134.0,56.5,58.0,59.25,-29.75
-312.5,-238.75,-272.5,-225.75,-220.0
130.75,77.5,46.25,53.0,-30.25
-341.0,-299.5,-331.75,-257.75,-251.5
99.0,-43.0,-47.75,18.25,-65.25
-340.75,-300.0,-328.25,-255.25,-249.25
66.25,-95.5,-113.0,-12.0,-96.25
-332.0,-271.5,-320.5,-241.5,-231.0
66.75,-97.75,-107.5,-7.75,-87.75
-331.5,-306.0,-330.0,-238.0,-228.5
102.5,13.5,-0.25,28.5,-47.75
-337.25,-284.75,-321.0,-249.5,-235.0
124.75,38.5,20.5,48.25,-26.75
-332.0,-306.25,-325.75,-249.0,-232.75
108.0,-36.25,-36.0,29.5,-46.75
-316.75,-228.75,-256.0,-224.25,-213.0
87.75,-37.75,-41.75,11.0,-67.0
-300.75,-224.25,-251.25,-210.5,-199.0
99.25,-33.0,-26.5,24.5,-55.5
-314.25,-275.25,-291.0,-226.5,-214.5
122.75,58.5,50.75,49.5,-29.0
-335.5,-269.5,-288.0,-242.0,-231.25
126.25,47.75,49.5,57.5,-22.5
-320.0,-252.75,-263.75,-227.5,-218.25
112.25,2.75,4.5,37.0,-42.75
-301.0,-174.0,-202.25,-208.5,-195.25
91.5,-17.25,-9.75,17.25,-59.75
-308.25,-236.5,-248.0,-212.5,-201.5
93.0,-20.25,-16.75,25.0,-54.0
-333.25,-295.25,-323.0,-242.25,-228.75
113.75,35.25,16.5,39.5,-35.25
-349.25,-318.0,-337.0,-261.0,-245.75
108.75,-17.75,-14.0,32.75,-42.75
-332.5,-275.5,-296.0,-242.5,-229.25
87.5,-34.25,-43.25,16.25,-62.5
-306.25,-189.5,-225.25,-206.5,-197.0
92.0,-20.75,-16.75,22.5,-56.0
-306.25,-233.75,-245.75,-210.0,-195.75
114.25,46.5,41.0,42.0,-32.5
-322.75,-244.75,-279.75,-237.0,-218.75
130.5,87.5,67.75,57.5,-13.75
-332.0,-260.0,-277.0,-237.0,-222.5
117.25,24.5,30.75,48.75,-26.5
-312.0,-188.25,-210.0,-214.5,-197.0
98.25,22.75,19.0,28.5,-44.5
-292.0,-160.25,-183.75,-197.75,-179.5
104.5,7.25,23.5,31.5,-39.25
-305.75,-224.5,-231.0,-209.75,-192.75
123.0,85.0,79.25,53.75,-18.75
-325.25,-232.5,-257.0,-231.25,-214.5
133.0,88.75,85.25,66.0,-7.5
-325.0,-249.75,-259.75,-233.25,-215.0
114.25,14.25,17.75,40.5,-31.0
-304.5,-169.75,-203.5,-209.5,-193.0
93.0,1.5,-10.5,18.25,-53.25
-302.5,-205.0,-233.25,-207.25,-188.5
94.75,-7.25,-4.25,27.25,-45.5
-325.75,-261.0,-282.75,-232.5,-211.25
113.5,67.75,53.0,42.0,-24.75
-346.25,-278.5,-299.0,-254.25,-232.75
109.25,15.25,13.0,37.5,-28.25
-344.75,-293.25,-313.75,-250.5,-227.0
80.5,-54.0,-61.25,11.25,-58.75
-323.0,-225.25,-264.5,-228.0,-207.0
72.75,-59.25,-61.5,0.25,-70.0
-322.25,-262.5,-280.0,-226.25,-208.0
90.5,-14.75,-22.25,17.75,-50.5
-339.0,-284.75,-324.75,-248.75,-224.5
113.75,59.0,29.75,41.0,-23.75
-342.0,-290.75,-321.75,-255.75,-228.25
114.25,10.5,0.0,41.0,-23.25
-321.5,-221.0,-256.25,-225.75,-204.5
98.75,6.5,-14.75,25.5,-43.0
-297.0,-168.5,-214.25,-203.75,-182.0
94.25,-8.5,-11.75,20.75,-48.25
-311.0,-237.5,-259.0,-219.25,-193.75
107.5,44.75,30.25,37.0,-28.0
-334.25,-250.25,-286.5,-240.0,-218.5
125.75,79.5,63.25,55.5,-11.25
-333.25,-274.5,-287.0,-241.5,-218.0
109.25,-1.25,7.5,37.0,-27.5
-319.0,-209.25,-237.25,-228.75,-200.0
84.0,-13.0,-29.75,7.75,-55.75
-311.25,-197.0,-236.25,-216.0,-193.75
87.0,-16.5,-20.25,14.5,-52.75
-322.25,-253.0,-273.75,-226.25,-205.75
111.5,65.0,58.75,47.0,-25.0
-339.5,-265.75,-282.0,-245.75,-225.5
117.0,46.0,56.0,51.5,-19.25
-340.75,-277.5,-272.75,-241.5,-222.5
93.75,-22.0,-10.5,21.25,-45.25
-319.75,-206.25,-233.5,-229.5,-203.0
75.5,-42.5,-41.0,-3.25,-65.75
-320.25,-255.75,-277.5,-234.5,-203.25
83.5,-43.75,-44.0,5.25,-54.75
-338.25,-293.25,-316.0,-247.5,-223.0
111.75,59.25,43.0,40.0,-26.5
-341.0,-266.5,-285.5,-247.25,-224.75
119.0,42.75,52.25,51.25,-15.0
-324.5,-233.5,-246.75,-229.5,-206.0
100.5,6.25,-1.75,29.5,-41.25
-302.0,-167.25,-203.5,-206.0,-188.25
93.5,-8.25,-0.5,21.5,-50.75
-300.5,-216.25,-222.75,-206.5,-187.5
113.25,50.0,51.75,41.5,-26.75
-319.5,-223.75,-256.75,-229.75,-205.75
135.75,128.75,102.0,66.25,-1.0
-326.25,-218.25,-239.75,-228.0,-207.25
130.25,65.0,75.0,63.5,-7.5
-299.0,-161.5,-177.25,-202.5,-185.25
112.75,49.75,51.25,39.75,-31.25
-285.5,-137.0,-162.5,-191.0,-170.0
105.5,25.0,34.75,35.0,-35.5
-304.0,-207.5,-214.0,-205.75,-187.25
119.75,83.0,84.5,52.5,-17.5
-324.0,-227.75,-251.0,-233.25,-212.0
136.5,98.5,95.0,64.25,-3.25
-319.5,-241.0,-244.5,-228.75,-205.5
125.25,38.75,48.5,52.25,-15.75
-294.0,-143.5,-167.0,-198.25,-177.5
107.5,49.5,50.5,37.75,-32.0
-289.5,-145.25,-161.0,-189.25,-168.5
